Date/Time,Word Count,en,pt-BR
2024.12.11-21.47.39,0,0,0
2024.12.11-22.03.16,235,235,0
2024.12.11-22.10.14,235,235,4
2024.12.11-22.14.09,236,236,4
2024.12.11-22.24.14,237,237,4
2024.12.11-22.26.14,236,236,4
2024.12.11-22.32.43,234,234,25
2024.12.11-22.40.14,233,233,36
2024.12.11-22.45.25,225,225,62
2024.12.11-22.50.01,225,225,151
2024.12.11-22.53.52,225,225,155
2024.12.11-22.57.19,225,225,191
2024.12.11-22.59.14,243,243,195
2024.12.11-23.02.51,243,243,214
2024.12.11-23.04.48,244,244,214
2024.12.11-23.06.38,242,242,214
2024.12.11-23.08.10,242,242,232
2024.12.11-23.09.06,242,242,235
2024.12.15-17.29.58,286,286,205
2024.12.15-18.23.42,286,286,273
2024.12.18-15.03.06,303,303,133
2024.12.18-15.07.58,305,305,238
2024.12.18-15.08.53,305,305,262
2024.12.18-20.11.35,323,323,262
2024.12.18-20.12.42,323,323,279
2024.12.21-09.03.13,333,333,273
2024.12.21-09.06.55,331,331,303
2024.12.21-09.07.42,331,331,304
2024.12.23-11.14.24,550,550,292
2024.12.23-11.23.46,550,550,479
2024.12.23-11.24.52,550,550,523
2024.12.23-11.55.47,550,550,502
2024.12.23-11.57.43,548,548,490
2024.12.23-12.22.09,548,548,498
2024.12.23-12.43.51,548,548,521
2024.12.23-14.33.06,557,557,477
2024.12.23-14.36.40,559,559,487
2024.12.23-14.37.05,558,558,487
2024.12.23-14.38.14,558,558,508
2024.12.23-14.40.49,558,558,532
2024.12.24-17.40.57,558,558,528
2024.12.24-17.41.55,558,558,532
2024.12.25-17.29.54,559,559,530
2024.12.25-17.30.18,559,559,533
2024.12.25-18.19.58,559,559,523
2024.12.25-18.22.53,559,559,533
2024.12.25-18.26.06,558,558,512
2024.12.25-18.30.48,558,558,532
2024.12.25-18.39.11,559,559,526
2024.12.25-18.39.48,559,559,533
2024.12.25-19.41.21,559,559,522
2024.12.25-19.44.07,559,559,533
